epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.01,4.35824,4.23579,3.9206,0.34855,0.13674,0.06758,0.02208,2.779,3.04847,2.51618,0.00333041,0.00333041,0.00333041
2,716.143,1.69935,1.43352,1.5119,0.58898,0.29135,0.27295,0.1555,1.59586,1.50739,1.48073,0.0065318,0.0065318,0.0065318
3,1065.04,1.27957,0.98779,1.19243,0.70661,0.36216,0.39556,0.25376,1.34603,1.35726,1.31125,0.00960119,0.00960119,0.00960119
4,1412.84,1.10594,0.78475,1.09596,0.53819,0.40716,0.44912,0.29828,1.28483,1.32985,1.25872,0.009406,0.009406,0.009406
5,1761.38,0.99869,0.66515,1.04285,0.46528,0.50701,0.47529,0.31975,1.19676,1.07447,1.20522,0.009208,0.009208,0.009208
6,2109.04,0.93433,0.60023,1.01264,0.57044,0.47627,0.48027,0.33535,1.16376,1.10835,1.1799,0.00901,0.00901,0.00901
7,2456.87,0.88761,0.56007,0.99299,0.57694,0.49735,0.52498,0.36873,1.10323,0.97456,1.13845,0.008812,0.008812,0.008812
8,2804.42,0.85365,0.53052,0.97979,0.55583,0.57017,0.56534,0.39909,1.05953,0.93183,1.10873,0.008614,0.008614,0.008614
9,3152.02,0.82728,0.51215,0.97117,0.55943,0.55911,0.53854,0.38719,1.03417,0.9417,1.09553,0.008416,0.008416,0.008416
10,3500.06,0.8042,0.48774,0.95962,0.61554,0.51201,0.55033,0.39796,1.06908,0.96495,1.1188,0.008218,0.008218,0.008218
11,3847.3,0.78989,0.4758,0.95431,0.64639,0.5358,0.56821,0.40414,1.07441,0.93913,1.11983,0.00802,0.00802,0.00802
12,4194.06,0.77974,0.46349,0.95111,0.6304,0.53399,0.54746,0.39908,1.01067,0.90978,1.08791,0.007822,0.007822,0.007822
13,4541.44,0.7682,0.45195,0.9461,0.59601,0.60166,0.57523,0.42165,1.029,0.90444,1.09643,0.007624,0.007624,0.007624
14,4888.91,0.75653,0.44269,0.94103,0.59728,0.54985,0.55517,0.40811,1.0331,0.96626,1.0928,0.007426,0.007426,0.007426
15,5236.43,0.74842,0.4341,0.93969,0.6749,0.53839,0.57495,0.41392,1.01652,0.89006,1.09167,0.007228,0.007228,0.007228
16,5584.71,0.74071,0.42587,0.93458,0.60416,0.54295,0.54391,0.40189,1.00783,0.91742,1.07816,0.00703,0.00703,0.00703
17,5933.18,0.73098,0.41769,0.93044,0.55867,0.57582,0.56417,0.41803,0.98811,0.90911,1.07581,0.006832,0.006832,0.006832
18,6282.45,0.72539,0.41277,0.92959,0.68201,0.53771,0.57353,0.42689,0.98496,0.89519,1.07295,0.006634,0.006634,0.006634
19,6630.79,0.72156,0.40706,0.92913,0.56299,0.53426,0.54498,0.40703,0.98555,0.89924,1.06577,0.006436,0.006436,0.006436
20,6979.13,0.71439,0.40064,0.92516,0.62415,0.64113,0.62459,0.46104,0.97595,0.84914,1.0729,0.006238,0.006238,0.006238
21,7327.37,0.70864,0.39503,0.92177,0.55896,0.59653,0.5747,0.43274,0.96652,0.94862,1.06815,0.00604,0.00604,0.00604
22,7675.66,0.70273,0.38913,0.92037,0.60866,0.61201,0.60142,0.44697,0.97762,0.91413,1.06317,0.005842,0.005842,0.005842
23,8023.29,0.698,0.3867,0.91881,0.58822,0.60562,0.59489,0.444,1.01579,0.88034,1.08627,0.005644,0.005644,0.005644
24,8371.39,0.69361,0.38107,0.91797,0.60222,0.59512,0.59904,0.4535,0.97858,0.92036,1.06694,0.005446,0.005446,0.005446
25,8720.41,0.68652,0.37595,0.91508,0.60128,0.61446,0.59506,0.44484,0.96139,0.85866,1.05764,0.005248,0.005248,0.005248
26,9068.97,0.68245,0.37104,0.91258,0.59327,0.58188,0.59519,0.45047,0.96268,0.86076,1.05832,0.00505,0.00505,0.00505
27,9418.58,0.67952,0.3667,0.91208,0.57247,0.59578,0.59298,0.44825,0.96597,0.89994,1.0624,0.004852,0.004852,0.004852
28,9767.75,0.67558,0.3659,0.9099,0.59963,0.61772,0.61137,0.4647,0.954,0.86942,1.05575,0.004654,0.004654,0.004654
29,10116.1,0.67234,0.36202,0.90903,0.61923,0.59952,0.59551,0.44849,0.97225,0.86853,1.06325,0.004456,0.004456,0.004456
30,10465.2,0.66664,0.35826,0.90713,0.58651,0.61938,0.60362,0.45588,0.9788,0.87148,1.0607,0.004258,0.004258,0.004258
31,10814.4,0.66443,0.35546,0.90721,0.60734,0.5755,0.59156,0.44829,0.97547,0.88842,1.058,0.00406,0.00406,0.00406
32,11162.5,0.66021,0.35059,0.90459,0.61916,0.64437,0.61391,0.46572,0.95235,0.88148,1.05089,0.003862,0.003862,0.003862
33,11512,0.65522,0.34672,0.90214,0.59227,0.59477,0.58214,0.44403,0.95744,0.9416,1.05568,0.003664,0.003664,0.003664
34,11860.7,0.65252,0.34313,0.90172,0.57665,0.58989,0.57832,0.43853,0.96867,0.91353,1.05753,0.003466,0.003466,0.003466
35,12210.6,0.64847,0.33935,0.90036,0.57,0.61123,0.59562,0.45072,0.97941,0.92663,1.06199,0.003268,0.003268,0.003268
36,12560,0.64281,0.33515,0.89917,0.57514,0.5702,0.58056,0.44466,0.95908,0.92618,1.05694,0.00307,0.00307,0.00307
37,12908.7,0.64161,0.33271,0.89761,0.62132,0.54344,0.57937,0.44823,0.96706,0.93041,1.06479,0.002872,0.002872,0.002872
38,13257.9,0.63762,0.32841,0.89568,0.58103,0.56378,0.58425,0.44952,0.97096,0.92895,1.0615,0.002674,0.002674,0.002674
39,13606.9,0.63238,0.32642,0.8945,0.62719,0.55016,0.57407,0.44076,0.96885,0.93377,1.06077,0.002476,0.002476,0.002476
40,13955.6,0.63129,0.32353,0.8939,0.61676,0.55377,0.57729,0.44494,0.95782,0.92877,1.05999,0.002278,0.002278,0.002278
41,14303.1,0.62412,0.3034,0.88984,0.62924,0.54459,0.57483,0.44468,0.95269,0.95925,1.0599,0.00208,0.00208,0.00208
42,14649.9,0.61577,0.29829,0.88807,0.61325,0.54531,0.56402,0.43926,0.95519,0.97765,1.06102,0.001882,0.001882,0.001882
43,14997.8,0.61091,0.29362,0.88653,0.61451,0.55092,0.56226,0.43489,0.96253,0.99495,1.06228,0.001684,0.001684,0.001684
44,15345.5,0.60463,0.28951,0.88352,0.58137,0.57701,0.57542,0.44142,0.96729,1.00547,1.06427,0.001486,0.001486,0.001486
45,15692.4,0.6,0.28599,0.88058,0.58156,0.58368,0.58049,0.44683,0.97008,1.01345,1.06485,0.001288,0.001288,0.001288
46,16040.5,0.59614,0.28364,0.87887,0.61121,0.55196,0.57797,0.44732,0.97038,1.01216,1.06513,0.00109,0.00109,0.00109
47,16388.3,0.58862,0.27862,0.87589,0.58832,0.56558,0.57581,0.44614,0.97233,0.99181,1.06855,0.000892,0.000892,0.000892
48,16735.8,0.58496,0.27451,0.87543,0.58912,0.56898,0.57799,0.44621,0.97799,0.98161,1.07015,0.000694,0.000694,0.000694
49,17082.9,0.5804,0.27063,0.87407,0.5734,0.57744,0.57642,0.44368,0.978,0.98197,1.07024,0.000496,0.000496,0.000496
50,17430.7,0.57466,0.26705,0.87172,0.57063,0.57994,0.57528,0.44219,0.97959,0.99161,1.071,0.000298,0.000298,0.000298
